FECHA,IDC,ACTIVIDAD ECONOMICA,EDAD,SALARIO,FFNN,MONTO_ACUMULADO_DOL_ACH,FRECUENCIA_ACH,MONTO_USD_DOL_PCC,CANTIDAD_PCC,NRO_ORDENANTES_DIFERENTES
202006,05988202LP,5602,37,1862,0,4456.26822,3,20553.93586,1,3
202006,05988788LP,5603,37,906,1,1290.379003,11,0,0,8
202006,05989539LP,5604,31,634,0,3061.224489,2,0,0,2
202006,05989543LP,5605,32,410,0,728.862971,4,0,0,1
202006,05989547LP,5606,35,1000,1,7434.402331,2,0,0,2
202006,05989667LP,5607,38,614,0,2063.119529,9,0,0,8
202006,05989680LP,5608,37,350,0,809.766762,3,0,0,2
202006,05990525LP,5609,34,500,1,19869.72303,8,13119.53353,1,5
202006,05990539LP,5610,32,1108,0,4677.842557,12,0,0,5
202006,05991585LP,5611,33,652,0,981.049558,7,0,0,5
202006,05991686LP,5612,28,527.84,0,744.897952,12,0,0,9
202006,05991690LP,5613,33,756,0,1068.221573,3,0,0,3
202006,05992100LP,5614,30,1500,1,2448.396495,11,0,0,6
202006,05992523LP,5615,37,700,0,2196.938765,22,0,0,17
202006,05992862LP,5616,36,428,0,3258.399412,10,0,0,6
202006,05993270LP,5617,37,800,0,2239.067053,4,0,0,4
202006,05993317LP,5618,37,5749,1,12169.82507,7,0,0,3
202006,05993609LP,5619,36,500,0,699.708454,2,0,0,2
202006,05993712LP,5620,37,2010,1,2713.994165,11,0,0,8
202006,05993877LP,5621,30,949,0,8038.046644,5,0,0,4
202006,05993913LP,5622,35,474,0,924.282794,8,0,0,4
202006,05994189LP,5623,31,430,0,594.380466,2,0,0,1
202006,05994526LP,5624,37,2186,0,4981.329441,11,0,0,10
202006,05995233LP,5625,34,500,0,1532.74198,6,0,0,4
202006,05996029LP,5626,36,400,0,655.976676,2,0,0,2
202006,05996105LP,5627,38,1045.34,0,1151.603495,5,0,0,4
202006,05997277LP,5628,38,950,0,1069.591833,5,0,0,4
202006,05997969LP,5629,37,809,0,1887.463551,10,0,0,4
202006,05998477LP,5630,34,365,0,634.110783,9,0,0,7
202006,05998683LP,5631,37,729,0,9896.501444,31,0,0,7
202006,05999539LP,5632,39,500,0,3469.387755,1,0,0,1
202006,06000006LP,5633,29,265,0,376.093293,2,0,0,1
202006,06002181LP,5634,37,900,0,1167.084544,7,0,0,6
202006,06002278LP,5635,39,500,0,2781.450427,16,0,0,3
202006,06004712LP,5636,35,300,0,969.387751,6,0,0,5
202006,06005563LP,5637,38,1500,0,3756.486878,6,0,0,4
202006,06006014LP,5638,40,357,0,467.492711,2,0,0,2
202006,06008347LP,5639,38,1000,0,1534.256557,4,0,0,3
202006,06009555LP,5640,40,300,0,677.842565,1,0,0,1
202006,06010351LP,5641,35,756,0,889.212823,7,0,0,2
202006,06011599LP,5642,39,523,0,1749.271137,1,0,0,1
202006,06011928LP,5643,37,1000,0,7857.142856,4,0,0,3
202006,06013588LP,5644,39,415,0,2149.883374,15,0,0,8
202006,06013678LP,5645,35,258,0,13119.53353,2,0,0,1
202006,06014150LP,5646,39,350,0,457.097663,8,0,0,4
202006,06014509LP,5647,37,975,0,3991.253643,3,0,0,3
202006,06017155LP,5648,25,500,0,1824.09183,12,0,0,7
202006,06017157LP,5649,30,300,0,411.953352,2,0,0,2
202006,06018907LP,5650,37,1709,1,1755.102035,10,0,0,5
